ID,CC_transfer,final_GPA,time_to_grad,extra_quarters,grad_on_time,graduated,total_units,gender,uc_ethnicity,first_gen_bachelors,ever_pell_fl,age_at_grad,CC_GPA_standard,entry_year,college_name,Calendar_Type
178,1,3.909090909,2.0,0.0,1,1,98.0,Female,Black Non-Hispanic,First Gen,Y,43.38,-0.249938987,2019,LONG BEACH CITY COLL,Semester
179,1,3.467241379,2.0,0.0,1,1,78.0,Male,Foreign,Not First Gen,N,24.03,1.053183696,2017,SANTA BARBARA CITY C,Semester
180,1,3.74065934,2.25,1.0,0,1,87.0,Female,White Non-Hispanic,Not First Gen,N,22.41,1.136287711,2017,GLENDALE COMMUNITY C,Semester
181,1,3.1,1.5,-2.0,1,1,85.0,Male,Foreign,Unknown/Other,N,26.57,0.42678327,2015,SANTA BARBARA CITY C,Semester
182,1,3.359756097,1.75,-1.0,1,1,82.0,Female,Black Non-Hispanic,Not First Gen,N,22.91,0.453009177,2016,EL CAMINO COLLEGE,Semester
183,1,3.117948717,1.75,-1.0,1,1,78.0,Female,Asian or Pacific Islander,First Gen,Y,23.57,0.917234663,2015,MOUNT SAN ANTONIO CO,Semester
184,1,3.910465116,2.0,0.0,1,1,93.0,Female,Asian or Pacific Islander,Not First Gen,N,22.52,-0.652228333,2019,EL CAMINO COLLEGE,Semester
185,1,3.785436893,2.0,0.0,1,1,106.5,Female,Black Non-Hispanic,Not First Gen,Y,28.14,-0.733552639,2017,DIABLO VALLEY COLLEG,Semester
186,1,1.5578125,,,0,0,70.0,Male,Hispanic,First Gen,Y,,-1.398384763,2017,LONG BEACH CITY COLL,Semester
187,1,3.897333333,2.25,1.0,0,1,93.0,Female,White Non-Hispanic,First Gen,N,23.3,0.742580464,2018,SANTA MONICA COLL,Semester
188,1,3.838541666,3.0,4.0,0,1,96.0,Female,White Non-Hispanic,Not First Gen,Y,27.68,1.051510054,2016,SANTA MONICA COLL,Semester
189,1,3.277027027,2.0,0.0,1,1,75.0,Female,Asian or Pacific Islander,First Gen,Y,24.73,0.958105613,2015,EAST LOS ANGELES COL,Semester
190,1,3.745714285,2.25,1.0,0,1,105.0,Female,Asian or Pacific Islander,Not First Gen,Y,22.17,0.845423657,2017,MOUNT SAN ANTONIO CO,Semester
191,1,3.252272727,2.0,0.0,1,1,68.0,Female,Asian or Pacific Islander,First Gen,Y,25.32,-1.481488779,2017,PASADENA CITY COLLEG,Semester
192,1,3.820224719,2.0,0.0,1,1,90.0,Female,White Non-Hispanic,Not First Gen,Y,22.72,-0.061361786,2018,IRVINE VALLEY COLLEG,Semester
193,1,2.465765765,2.75,3.0,0,1,120.0,Male,Black Non-Hispanic,Unknown/Other,Y,22.88,-3.411121161,2018,SOUTHWESTERN COLLEGE,Semester
194,1,3.666666666,,,0,0,12.0,Female,White Non-Hispanic,Not First Gen,N,,0.554639707,2019,MIRACOSTA COLLEGE,Semester
195,1,3.733333333,,,0,0,91.0,Female,White Non-Hispanic,Not First Gen,N,,0.051778024,2019,SANTA MONICA COLL,Semester
196,1,3.46930693,2.25,1.0,0,1,102.5,Female,White Non-Hispanic,First Gen,Y,23.87,0.413109119,2016,VENTURA COLLEGE,Semester
197,1,3.321686746,2.0,0.0,1,1,92.0,Male,Asian or Pacific Islander,First Gen,Y,24.46,-0.105591641,2016,FULLERTON COLLEGE,Semester
198,1,3.714,2.0,0.0,1,1,100.0,Female,White Non-Hispanic,First Gen,Y,23.03,0.504353539,2019,PASADENA CITY COLLEG,Semester
199,1,3.753658536,2.0,0.0,1,1,87.0,Female,Asian or Pacific Islander,Not First Gen,N,22.44,-0.065691582,2016,ORANGE COAST COLLEGE,Semester
200,1,3.085365853,2.25,1.0,0,1,91.0,Female,Foreign,Not First Gen,N,23.64,0.876363714,2015,MOUNT SAN ANTONIO CO,Semester
201,1,3.461728395,1.75,-1.0,1,1,81.0,Male,Foreign,Unknown/Other,N,27.77,0.697917006,2018,IRVINE VALLEY COLLEG,Semester
202,1,3.448514851,3.0,4.0,0,1,110.0,Female,White Non-Hispanic,First Gen,Y,43.01,-0.016698328,2018,SANTA MONICA COLL,Semester
203,1,3.202597402,1.75,-1.0,1,1,81.0,Female,Foreign,Not First Gen,N,25.94,1.055224672,2018,SANTA MONICA COLL,Semester
204,1,3.727536231,2.25,1.0,0,1,81.0,Male,Asian or Pacific Islander,Not First Gen,Y,23.61,0.014108534,2016,SACRAMENTO CITY COLL,Semester
205,1,3.88095238,2.25,1.0,0,1,105.0,Female,Asian or Pacific Islander,Not First Gen,Y,26.07,1.007215222,2019,CYPRESS COLLEGE,Semester
206,1,3.870886075,2.0,0.0,1,1,73.0,Female,Hispanic,Not First Gen,N,22.68,-0.065691582,2016,ORANGE COAST COLLEGE,Semester
207,1,3.527906976,2.0,0.0,1,1,86.0,Female,White Non-Hispanic,Not First Gen,Y,22.93,-0.89976067,2017,SANTA MONICA COLL,Semester
208,1,2.714772727,2.0,0.0,1,1,92.0,Female,Foreign,Not First Gen,N,23.84,-0.472377619,2015,CHAFFEY COLLEGE,Semester
209,1,3.981481481,1.5,-2.0,1,1,82.0,Male,"Unstated, Unknown, Other",First Gen,Y,21.88,1.244202259,2015,MOORPARK COLLEGE,Semester
210,1,3.3,2.0,0.0,1,1,86.0,Female,Hispanic,First Gen,Y,25.65,0.263695548,2017,CITRUS COLLEGE,Semester
211,0,3.025287356,3.0,4.0,0,1,96.0,Male,Asian or Pacific Islander,First Gen,Y,23.47,-0.704092517,2016,CSU SACRAMENTO,Semester
212,0,3.736448598,2.0,0.0,1,1,113.0,Female,Asian or Pacific Islander,Not First Gen,N,23.11,0.429936256,2018,UC SANTA CRUZ,Quarter
213,1,3.593617021,2.5,2.0,0,1,98.0,Male,Hispanic,First Gen,Y,22.61,1.055224672,2018,EAST LOS ANGELES COL,Semester
214,1,3.42,2.0,0.0,1,1,100.0,Female,Foreign,Not First Gen,N,21.04,1.136287711,2017,DIABLO VALLEY COLLEG,Semester
215,1,1.252173913,,,0,0,23.0,Female,Hispanic,First Gen,N,,-0.584392342,2016,GAVILAN COLLEGE,Semester
216,1,3.848837209,2.0,0.0,1,1,90.0,Male,White Non-Hispanic,First Gen,Y,23.3,0.001491855,2019,PASADENA CITY COLLEG,Semester
217,1,3.660784313,2.0,0.0,1,1,102.0,Male,Asian or Pacific Islander,Not First Gen,Y,22.57,0.097487517,2017,PASADENA CITY COLLEG,Semester
218,1,3.311688311,1.75,-1.0,1,1,77.0,Male,Asian or Pacific Islander,First Gen,Y,27.27,-0.401136576,2017,LOS ANGELES CITY COL,Semester
219,1,3.945121951,2.25,1.0,0,1,82.0,Female,White Non-Hispanic,Not First Gen,Y,21.4,0.001491855,2019,SANTIAGO CANYON COLL,Semester
220,1,3.795652173,2.0,0.0,1,1,92.0,Female,White Non-Hispanic,Not First Gen,N,21.17,-0.504592225,2016,AMERICAN RIVER COLLE,Semester
221,1,3.65479452,2.0,0.0,1,1,77.0,Male,Asian or Pacific Islander,First Gen,N,21.76,0.055935509,2017,DE ANZA COLLEGE,Quarter
222,1,2.901574803,2.75,3.0,0,1,134.0,Male,Hispanic,First Gen,Y,32.79,-3.018913066,2017,EL CAMINO COLLEGE,Semester
223,1,3.927619047,3.0,4.0,0,1,109.0,Male,White Non-Hispanic,First Gen,N,23.95,0.655212044,2019,PASADENA CITY COLLEG,Semester
224,1,2.831764705,1.75,-1.0,1,1,87.0,Male,Hispanic,First Gen,Y,26.6,-2.517851994,2018,EL CAMINO COLLEGE,Semester
225,1,3.458333333,2.0,0.0,1,1,83.0,Male,Asian or Pacific Islander,Not First Gen,N,23.6,0.787243922,2018,SANTA MONICA COLL,Semester
226,1,3.344594594,2.0,0.0,1,1,77.0,Female,"Unstated, Unknown, Other",Not First Gen,Y,24.55,0.856356717,2019,MOUNT SAN ANTONIO CO,Semester
227,1,1.577777777,,,0,0,63.0,Male,Foreign,Not First Gen,N,,0.672008967,2015,SANTA MONICA COLL,Semester
228,1,3.312222222,2.25,1.0,0,1,94.0,Female,Hispanic,First Gen,N,22.99,1.055224672,2018,SADDLEBACK COLLEGE,Semester
229,1,3.544444444,2.0,0.0,1,1,81.0,Female,White Non-Hispanic,Not First Gen,N,23.22,0.590267068,2015,SANTA MONICA COLL,Semester
230,1,3.824,2.0,0.0,1,1,79.0,Female,Asian or Pacific Islander,First Gen,Y,23.22,0.563926631,2018,PASADENA CITY COLLEG,Semester
231,1,3.814634146,2.0,0.0,1,1,81.0,Female,American Indian or Alaskan Native,Not First Gen,N,23.34,1.055224672,2018,MOUNT SAN JACINTO CO,Semester
232,1,3.752941176,2.0,0.0,1,1,96.0,Female,Hispanic,Not First Gen,N,22.18,-1.412409456,2015,SANTA MONICA COLL,Semester
233,1,3.267741935,2.5,2.0,0,1,97.0,Male,White Non-Hispanic,First Gen,N,24.43,-1.606144802,2017,PALOMAR COLLEGE,Semester
234,1,3.38372093,2.0,0.0,1,1,87.0,Female,White Non-Hispanic,Not First Gen,N,22.83,0.429936256,2018,MOUNT SAN ANTONIO CO,Semester
235,1,2.854761904,4.25,9.0,0,1,134.0,Male,White Non-Hispanic,Not First Gen,N,24.24,0.971709937,2016,SAN DIEGO MESA COLLE,Semester
236,1,3.058035714,2.0,0.0,1,1,119.5,Female,White Non-Hispanic,First Gen,Y,22.25,-0.594990467,2015,GLENDALE COMMUNITY C,Semester
237,1,3.229166666,2.5,2.0,0,1,96.0,Female,Hispanic,First Gen,Y,30.97,0.213608827,2016,CHAFFEY COLLEGE,Semester
238,1,3.298780487,2.0,0.0,1,1,88.0,Male,Asian or Pacific Islander,Unknown/Other,N,22.07,0.762319641,2017,BERKELEY CITY COLLEG,Semester
239,1,2.738888888,,,0,0,19.0,Male,Asian or Pacific Islander,Not First Gen,N,,0.504353539,2019,FOOTHILL COLLEGE,Quarter
240,1,3.771590909,2.0,0.0,1,1,98.0,Male,White Non-Hispanic,Not First Gen,N,22.31,-1.004231512,2019,SANTA MONICA COLL,Semester
241,1,3.192045454,2.0,0.0,1,1,92.0,Male,Foreign,Not First Gen,N,25.78,-0.982864685,2017,DIABLO VALLEY COLLEG,Semester
242,1,3.647619047,2.0,0.0,1,1,84.0,Female,White Non-Hispanic,Not First Gen,Y,26.0,0.803871649,2017,SANTA MONICA COLL,Semester
243,1,3.781012658,2.0,0.0,1,1,79.0,Male,White Non-Hispanic,First Gen,Y,30.04,0.097487517,2017,COLLEGE OF THE CANYO,Semester
244,1,3.75079365,1.75,-1.0,1,1,67.0,Male,Black Non-Hispanic,Not First Gen,N,32.34,-1.445928994,2018,GROSSMONT CMTY COLLE,Semester
245,1,3.141025641,1.75,-1.0,1,1,81.0,Female,Foreign,Not First Gen,N,24.18,1.011609995,2016,SANTA BARBARA CITY C,Semester
246,1,3.367032967,2.5,2.0,0,1,95.0,Male,Hispanic,First Gen,Y,29.78,0.59611161,2017,MIRACOSTA COLLEGE,Semester
247,1,3.919791666,2.0,0.0,1,1,86.0,Female,Hispanic,Not First Gen,Y,23.07,-0.14936665,2019,WEST LOS ANGELES COL,Semester
248,1,3.502439024,2.0,0.0,1,1,90.0,Male,Hispanic,Not First Gen,N,22.1,0.958105613,2015,MOUNT SAN JACINTO CO,Semester
249,1,3.31547619,2.0,0.0,1,1,85.0,Female,Black Non-Hispanic,Not First Gen,N,22.19,-0.909967494,2018,COLLEGE OF SAN MATEO,Semester
250,1,3.657407407,2.0,0.0,1,1,111.0,Female,Hispanic,First Gen,Y,23.62,-0.34976477,2015,SANTA MONICA COLL,Semester
251,1,3.86185567,2.25,1.0,0,1,97.0,Male,Foreign,Not First Gen,N,23.34,1.055224672,2018,EAST LOS ANGELES COL,Semester
252,1,3.223958333,1.5,-2.0,1,1,96.0,Male,Foreign,Not First Gen,N,26.21,0.998976562,2015,DE ANZA COLLEGE,Quarter
253,1,3.474390243,2.25,1.0,0,1,91.0,Male,Asian or Pacific Islander,Not First Gen,Y,26.93,-0.016698328,2018,IRVINE VALLEY COLLEG,Semester
254,1,3.738461538,2.0,0.0,1,1,90.0,Female,Hispanic,First Gen,N,21.89,0.762319641,2017,NORCO COLLEGE,Semester
255,1,2.704761904,,,0,0,94.0,Female,Hispanic,First Gen,N,,0.213608827,2016,ANTELOPE VALLEY COLL,Semester
256,1,3.872222222,2.0,0.0,1,1,97.0,Female,White Non-Hispanic,Not First Gen,N,22.23,-1.305948522,2019,ORANGE COAST COLLEGE,Semester
257,1,3.218888888,3.0,4.0,0,1,90.0,Male,American Indian or Alaskan Native,Not First Gen,Y,26.33,-1.579919369,2018,RIO HONDO COLLEGE,Semester
258,1,3.925641025,2.0,0.0,1,1,78.0,Female,Asian or Pacific Islander,Not First Gen,Y,25.24,0.772209645,2016,LOS ANGELES PIERCE C,Semester
259,1,2.145918367,2.75,3.0,0,1,116.0,Male,Foreign,Not First Gen,N,31.0,-0.799345214,2015,DIABLO VALLEY COLLEG,Semester
260,1,2.725555555,2.25,1.0,0,1,90.0,Male,Asian or Pacific Islander,First Gen,Y,23.87,-1.897008856,2017,FRESNO CITY COLLEGE,Semester
261,1,3.507894736,2.25,1.0,0,1,58.0,Male,White Non-Hispanic,First Gen,Y,22.39,1.244202259,2015,MOORPARK COLLEGE,Semester
262,1,3.571195652,2.0,0.0,1,1,83.0,Female,Foreign,Not First Gen,N,23.63,1.244202259,2015,SANTA MONICA COLL,Semester
263,1,3.559210526,2.0,0.0,1,1,85.0,Male,Asian or Pacific Islander,First Gen,Y,25.04,1.039847512,2015,RIVERSIDE CITY COLLE,Semester
264,1,3.685714285,2.0,0.0,1,1,84.0,Female,Asian or Pacific Islander,Not First Gen,N,23.52,-2.720279839,2015,DE ANZA COLLEGE,Quarter
265,1,3.721582733,3.0,4.0,0,1,115.0,Female,Asian or Pacific Islander,Not First Gen,N,23.07,0.051778024,2019,IRVINE VALLEY COLLEG,Semester
266,0,3.557803468,2.0,0.0,1,1,90.0,Female,Foreign,Not First Gen,N,23.03,0.097487517,2017,UC IRVINE,Quarter
267,1,3.25,2.0,0.0,1,1,85.0,Male,Asian or Pacific Islander,Not First Gen,N,23.66,-1.023292985,2016,SANTA MONICA COLL,Semester
268,1,3.702409638,2.0,0.0,1,1,87.0,Male,White Non-Hispanic,Not First Gen,N,21.25,0.429936256,2018,SAN DIEGO MESA COLLE,Semester
269,1,2.99125,2.0,0.0,1,1,90.0,Male,Hispanic,Not First Gen,N,23.99,0.093908651,2016,SANTIAGO CANYON COLL,Semester
270,1,3.284415584,2.0,0.0,1,1,85.0,Female,Asian or Pacific Islander,First Gen,Y,23.49,0.998976562,2015,SANTA MONICA COLL,Semester
271,1,3.158536585,,,0,0,61.0,Female,Hispanic,First Gen,Y,,-0.329342536,2018,CUESTA COLLEGE,Semester
272,1,3.593548387,1.75,-1.0,1,1,98.0,Male,White Non-Hispanic,Not First Gen,N,22.12,0.474599714,2018,DIABLO VALLEY COLLEG,Semester
273,1,3.172413793,2.25,1.0,0,1,105.0,Male,Foreign,Not First Gen,N,22.6,0.117292047,2018,BERKELEY CITY COLLEG,Semester
274,1,3.448421052,2.5,2.0,0,1,96.0,Female,Asian or Pacific Islander,Not First Gen,N,23.28,-0.305091933,2016,IRVINE VALLEY COLLEG,Semester
275,1,3.495454545,2.0,0.0,1,1,95.5,Female,Foreign,Not First Gen,N,25.12,0.180591533,2017,DE ANZA COLLEGE,Quarter
276,1,3.452173913,2.0,0.0,1,1,93.0,Male,Asian or Pacific Islander,Not First Gen,Y,24.78,0.295945881,2018,SANTA MONICA COLL,Semester
277,1,3.776760563,2.5,2.0,0,1,146.0,Male,Foreign,Not First Gen,Y,23.46,0.572709352,2016,GLENDALE COMMUNITY C,Semester
278,1,3.52087912,2.0,0.0,1,1,94.0,Female,Hispanic,First Gen,N,26.42,-1.208054709,2015,LOS ANGELES VALLEY C,Semester
279,1,3.535955056,3.0,4.0,0,1,123.0,Female,Hispanic,First Gen,N,22.96,-2.009954879,2019,SANTA ANA COLLEGE,Semester
280,1,3.443859649,2.25,1.0,0,1,122.0,Female,Hispanic,First Gen,Y,23.98,-0.983392926,2016,PASADENA CITY COLLEG,Semester
281,1,2.780681818,2.0,0.0,1,1,92.0,Male,Hispanic,Not First Gen,N,23.36,-0.484240592,2017,LONG BEACH CITY COLL,Semester
282,1,3.853846153,2.0,0.0,1,1,87.0,Female,White Non-Hispanic,First Gen,N,22.28,0.697917006,2018,MOORPARK COLLEGE,Semester
283,1,3.488990825,2.0,0.0,1,1,110.5,Female,Foreign,Not First Gen,N,20.46,0.931809878,2016,BERKELEY CITY COLLEG,Semester
284,1,3.185294117,2.0,0.0,1,1,83.0,Male,Hispanic,First Gen,Y,23.64,-2.020794445,2016,SANTA MONICA COLL,Semester
285,1,3.63125,2.0,0.0,1,1,88.0,Female,Asian or Pacific Islander,First Gen,Y,23.05,-2.063216887,2017,PASADENA CITY COLLEG,Semester
286,1,2.775280898,2.5,2.0,0,1,90.0,Male,Foreign,Not First Gen,N,24.68,-0.105591641,2016,EAST LOS ANGELES COL,Semester
287,1,3.553465346,2.5,2.0,0,1,109.0,Male,White Non-Hispanic,First Gen,N,23.92,-0.865304036,2018,SAN DIEGO MESA COLLE,Semester
288,1,3.457647058,2.0,0.0,1,1,95.0,Male,Foreign,Not First Gen,N,22.65,0.831907381,2018,DE ANZA COLLEGE,Quarter
289,1,3.226506024,4.25,9.0,0,1,83.0,Male,Foreign,Not First Gen,N,26.2,0.37320906,2016,FULLERTON COLLEGE,Semester
290,1,3.043589743,2.0,0.0,1,1,94.0,Female,White Non-Hispanic,First Gen,Y,22.82,0.519263172,2018,DE ANZA COLLEGE,Quarter
291,0,3.159740259,3.0,4.0,0,1,162.0,Male,"Unstated, Unknown, Other",Unknown/Other,N,22.21,1.055224672,2018,ST JOHNS UNIV,
292,1,3.552293577,2.0,0.0,1,1,112.0,Male,Hispanic,First Gen,Y,23.25,-1.909382542,2019,LOS ANGELES TRADE-TE,Semester
293,1,3.04117647,3.5,6.0,0,1,135.0,Male,Hispanic,First Gen,N,23.14,1.211110287,2016,COLLEGE OF THE CANYO,Semester
294,1,3.653012048,3.25,5.0,0,1,102.0,Female,Foreign,Not First Gen,N,24.31,0.346799564,2017,RIVERSIDE CITY COLLE,Semester
295,1,3.044,1.75,-1.0,1,1,75.0,Female,Hispanic,First Gen,Y,36.92,-1.758573202,2018,EAST LOS ANGELES COL,Semester
296,0,3.908888888,2.0,0.0,1,1,103.0,Female,White Non-Hispanic,First Gen,Y,25.81,-0.234928545,2017,PORTLAND STATE UNIVE,Quarter
297,1,3.683516483,2.0,0.0,1,1,95.0,Male,Asian or Pacific Islander,First Gen,Y,24.03,1.007215222,2019,PASADENA CITY COLLEG,Semester
298,1,3.817567567,2.0,0.0,1,1,79.0,Male,Asian or Pacific Islander,Not First Gen,N,24.62,0.251282422,2018,SANTA MONICA COLL,Semester
299,1,2.88,2.25,1.0,0,1,86.0,Male,White Non-Hispanic,Not First Gen,Y,24.97,0.305247556,2017,BERKELEY CITY COLLEG,Semester
300,1,3.492307692,2.25,1.0,0,1,104.0,Male,Asian or Pacific Islander,Not First Gen,Y,29.24,-0.676732366,2015,EAST LOS ANGELES COL,Semester
301,1,3.024444444,2.5,2.0,0,1,96.0,Female,White Non-Hispanic,First Gen,N,22.4,-0.38489205,2016,SANTA MONICA COLL,Semester
302,1,3.329629629,3.0,4.0,0,1,112.0,Female,White Non-Hispanic,Not First Gen,N,24.29,-0.265191874,2016,MIRACOSTA COLLEGE,Semester
303,1,3.326315789,2.0,0.0,1,1,84.0,Male,Asian or Pacific Islander,First Gen,N,22.74,-0.664192459,2016,DIABLO VALLEY COLLEG,Semester
304,1,3.2175,,,0,0,41.0,Female,"Unstated, Unknown, Other",First Gen,Y,,1.244202259,2015,AMERICAN RIVER COLLE,Semester
305,0,3.88076923,2.0,0.0,1,1,90.0,Female,White Non-Hispanic,Not First Gen,Y,30.68,-1.575893254,2015,JAMES MADISON UNIVER,
306,1,3.343589743,2.25,1.0,0,1,86.0,Male,Hispanic,First Gen,N,23.14,0.772209645,2016,COLLEGE OF THE CANYO,Semester
307,1,3.854838709,3.5,6.0,0,1,105.0,Male,Hispanic,First Gen,N,35.04,0.072628589,2018,LOS ANGELES TRADE-TE,Semester
308,1,3.185185185,2.25,1.0,0,1,90.0,Male,Asian or Pacific Islander,First Gen,Y,27.3,0.102064192,2019,GLENDALE COMMUNITY C,Semester
309,0,3.071755725,2.75,3.0,0,1,141.0,Female,"Unstated, Unknown, Other",Unknown/Other,N,22.44,-5.529986664,2019,UNIV SAN DIEGO,Semester
310,1,3.315384615,2.0,0.0,1,1,79.0,Female,White Non-Hispanic,Unknown/Other,N,21.9,1.055224672,2018,LOS ANGELES CITY COL,Semester
311,1,3.464356435,2.5,2.0,0,1,101.0,Male,Asian or Pacific Islander,Not First Gen,Y,25.29,0.917234663,2015,CHABOT COLLEGE,Semester
312,1,3.815555555,2.0,0.0,1,1,90.0,Female,Hispanic,First Gen,Y,23.07,-2.009954879,2019,LOS ANGELES PIERCE C,Semester
313,1,3.65116279,2.0,0.0,1,1,86.0,Female,Hispanic,First Gen,N,22.01,-1.356602077,2018,BERKELEY CITY COLLEG,Semester
314,1,3.889690721,2.0,0.0,1,1,97.0,Female,Asian or Pacific Islander,Not First Gen,Y,22.83,0.772209645,2016,MOORPARK COLLEGE,Semester
315,1,3.485106382,2.0,0.0,1,1,106.0,Female,Black Non-Hispanic,Not First Gen,N,22.35,-1.205376185,2019,WEST LOS ANGELES COL,Semester
316,1,3.890099009,2.5,2.0,0,1,114.0,Male,Hispanic,First Gen,Y,29.96,-3.417967593,2019,LOS ANGELES PIERCE C,Semester
317,1,3.589873417,2.0,0.0,1,1,85.0,Female,Black Non-Hispanic,Unknown/Other,Y,32.71,-4.12197395,2019,PASADENA CITY COLLEG,Semester
318,1,3.5375,2.0,0.0,1,1,83.0,Female,White Non-Hispanic,Not First Gen,N,22.17,0.140686624,2015,SANTA MONICA COLL,Semester
319,1,3.820212765,2.0,0.0,1,1,94.0,Female,White Non-Hispanic,Not First Gen,Y,30.67,1.055224672,2018,SANTA BARBARA CITY C,Semester
320,0,3.124615384,2.0,0.0,1,1,65.0,Female,White Non-Hispanic,Not First Gen,Y,23.83,-1.909382542,2019,SAN FRANCISCO STATE,Semester
321,1,3.252,2.0,0.0,1,1,92.0,Male,Foreign,First Gen,N,23.02,0.001491855,2019,EL CAMINO COLLEGE,Semester
322,1,3.53875,2.25,1.0,0,1,80.0,Female,Hispanic,First Gen,Y,22.05,-1.445928994,2018,SANTA MONICA COLL,Semester
323,1,3.57051282,2.0,0.0,1,1,80.0,Male,Foreign,Not First Gen,N,22.42,0.787243922,2018,DE ANZA COLLEGE,Quarter
324,1,2.593150684,2.0,0.0,1,1,85.0,Female,Asian or Pacific Islander,First Gen,Y,24.35,-0.731313661,2018,DE ANZA COLLEGE,Quarter
325,1,3.072619047,2.0,0.0,1,1,84.0,Female,White Non-Hispanic,Not First Gen,Y,23.4,-0.104539073,2015,YUBA COLLEGE,Semester
326,1,2.124242424,,,0,0,37.0,Male,Hispanic,Not First Gen,Y,,-0.199652818,2019,GLENDALE COMMUNITY C,Semester
327,1,2.841573033,2.0,0.0,1,1,93.0,Male,Asian or Pacific Islander,Not First Gen,N,23.42,-0.308893821,2015,EL CAMINO COLLEGE,Semester
328,1,3.77368421,2.0,0.0,1,1,90.0,Female,Foreign,First Gen,N,21.23,0.803871649,2017,COLLEGE OF SAN MATEO,Semester
329,1,3.48021978,2.0,0.0,1,1,91.0,Male,Asian or Pacific Islander,Not First Gen,N,24.95,-0.061361786,2018,EL CAMINO COLLEGE,Semester
330,1,3.715217391,2.25,1.0,0,1,97.0,Male,Foreign,Not First Gen,N,22.5,0.608590089,2018,COLLEGE OF SAN MATEO,Semester
331,1,3.080232558,2.25,1.0,0,1,86.0,Female,Asian or Pacific Islander,First Gen,Y,23.62,0.845423657,2017,PASADENA CITY COLLEG,Semester
332,1,3.74494382,2.5,2.0,0,1,103.0,Female,Hispanic,First Gen,Y,29.29,-0.686650203,2018,SANTA BARBARA CITY C,Semester
333,0,3.421468926,2.5,2.0,0,1,93.0,Male,Hispanic,First Gen,Y,22.64,-1.27372874,2017,UC MERCED,Semester
334,1,3.848076923,2.0,0.0,1,1,104.0,Male,Foreign,Not First Gen,N,22.78,1.136287711,2017,EAST LOS ANGELES COL,Semester
335,1,3.262295081,3.0,4.0,0,1,130.0,Female,Asian or Pacific Islander,First Gen,Y,23.97,0.429936256,2018,MONTEREY PENINSULA C,Semester
336,1,3.378504672,7.25,21.0,0,1,119.0,Female,Asian or Pacific Islander,First Gen,N,31.55,-0.513248568,2015,EAST LOS ANGELES COL,Semester
337,1,3.230379746,,,0,0,79.0,Female,Hispanic,Not First Gen,N,,0.563926631,2018,LOS ANGELES HARBOR C,Semester
338,1,3.485714285,2.25,1.0,0,1,94.0,Female,Hispanic,First Gen,Y,24.71,-0.652228333,2019,NORCO COLLEGE,Semester
339,1,3.969620253,2.0,0.0,1,1,78.0,Male,White Non-Hispanic,Not First Gen,N,32.85,0.652509469,2016,PASADENA CITY COLLEG,Semester
340,1,3.834523809,2.25,1.0,0,1,84.0,Female,White Non-Hispanic,First Gen,N,21.4,1.055224672,2018,SANTA MONICA COLL,Semester
341,1,3.641463414,2.0,0.0,1,1,100.0,Female,Foreign,First Gen,N,23.63,0.303208865,2019,SANTA MONICA COLL,Semester
342,1,3.369512195,2.0,0.0,1,1,85.0,Female,Hispanic,First Gen,Y,21.81,-1.311938619,2018,EAST LOS ANGELES COL,Semester
343,1,3.115294117,2.0,0.0,1,1,85.0,Female,Asian or Pacific Islander,Not First Gen,Y,22.31,-0.227151922,2015,SANTA ROSA JUNIOR CO,Semester
344,1,2.778481012,2.0,0.0,1,1,79.0,Male,Foreign,First Gen,N,24.21,0.385272797,2018,DE ANZA COLLEGE,Quarter
345,1,3.774074074,2.5,2.0,0,1,116.0,Female,Hispanic,First Gen,Y,23.69,0.102064192,2019,SANTA ROSA JUNIOR CO,Semester
346,1,3.854081632,2.0,0.0,1,1,102.0,Female,White Non-Hispanic,Not First Gen,N,22.93,-0.110272522,2017,SADDLEBACK COLLEGE,Semester
347,1,3.054945054,2.0,0.0,1,1,91.0,Female,Asian or Pacific Islander,Not First Gen,N,22.33,-0.265191874,2016,DIABLO VALLEY COLLEG,Semester
348,1,3.859740259,2.0,0.0,1,1,77.0,Male,Foreign,First Gen,N,29.41,-1.133284786,2018,SANTA MONICA COLL,Semester
349,1,3.13,2.5,2.0,0,1,99.5,Female,Hispanic,First Gen,Y,27.93,-0.686650203,2018,LONG BEACH CITY COLL,Semester
350,1,2.228571428,,,0,0,113.0,Female,White Non-Hispanic,Not First Gen,N,,0.303208865,2019,COLLEGE OF SAN MATEO,Semester
351,1,3.759090909,2.25,1.0,0,1,85.5,Male,Foreign,Not First Gen,N,24.62,0.831907381,2018,DIABLO VALLEY COLLEG,Semester
352,1,2.94787234,1.5,-2.0,1,1,73.0,Male,Black Non-Hispanic,Unknown/Other,Y,27.03,-1.35623469,2019,SOUTHWESTERN COLLEGE,Semester
353,1,3.436507936,2.25,1.0,0,1,88.0,Male,Asian or Pacific Islander,Not First Gen,Y,27.96,0.554639707,2019,IRVINE VALLEY COLLEG,Semester
354,1,3.088405797,2.0,0.0,1,1,75.0,Male,Hispanic,Unknown/Other,Y,40.0,0.15235036,2019,SANTA MONICA COLL,Semester
355,1,3.295652173,2.0,0.0,1,1,79.0,Female,Black Non-Hispanic,Not First Gen,N,22.15,0.958105613,2015,WEST VALLEY COLLEGE,Semester
356,1,3.723232323,2.5,2.0,0,1,99.0,Male,Asian or Pacific Islander,First Gen,Y,23.94,0.755784381,2019,PASADENA CITY COLLEG,Semester
